t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
5340,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5400,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5460,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5520,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5580,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5640,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5700,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5760,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5820,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
5880,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_3_0,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_0_0,WS_0_0,WS_0_0,WS_0_0
